FileName,FlavorText
Eye_-3,記録なし。その時間は存在しない。
Eye_-2,瞬き禁止。見逃しは罪だ。
Eye_-1,視界の隅に、何かが映った気がした。
Eye_1,まずは隣人を観察せよ。
Eye_2,カメラのレンズは磨かれているか？
Eye_3,報告書は、客観的事実のみで構成される。
Eye_4,相互監視こそが、平穏な睡眠を約束する。
Eye_5,隠し事はないな？その瞳孔が開いているぞ。
Eye_6,壁には耳があり、天井には目がある。
Eye_Audit,再調査を行う。君の無実を証明するためにね。
Eye_Bribe,金貨でレンズを塞げば、少しの間だけ闇が訪れる。
Eye_Reject,不適切なデータだ。見なかったことにする。
Eye_Suspend,視界から消えろ。頭を冷やせ。
Chain_-3,鎖が切れた。自由ではなく、孤独が訪れた。
Chain_-2,錆びついている。動きが鈍いぞ。
Chain_-1,軋む音が耳障りだ。
Chain_1,手首の重みは市民であることの誇りだ。
Chain_2,一人が転べば、全員が転ぶ。
Chain_3,緩みは許容されない。引き締めろ。
Chain_4,短い鎖ほど、迷いを捨てられる。
Chain_5,逃げようとするから痛むのだ。従えば心地よい。
Chain_6,私たちは墓場まで一緒だ。
Chain_Audit,鎖の強度テストを行う。
Chain_Bribe,黄金の鎖は、鉄よりもはるかに軽く、美しい。
Chain_Reject,繋ぎ直しだ。リンクの順序が間違っている。
Chain_Suspend,彼を柱に繋いでおけ。目が覚めるまでな。
Gear_-3,破損を確認。廃棄処分を決定。
Gear_-2,異音が聞こえる。オイルが足りないようだ。
Gear_-1,摩擦熱。少し休みが欲しいか？
Gear_1,回転を開始せよ。
Gear_2,他の歯車と噛み合え、個性を消せ。
Gear_3,昨日より1回転多く回れ。
Gear_4,生産性向上。君の代わりはいくらでもいるがね。
Gear_5,完璧な噛み合わせだ。美しいだろう？
Gear_6,思考するな。ただ回れば良い。
Gear_Audit,品質管理部門が通る。ラインを止めろ。
Gear_Bribe,潤滑油を挿せば、無理な回転も可能になる。
Gear_Reject,規格外品だ。溶かして作り直せ。
Gear_Suspend,メンテナンス中。このパーツを取り外せ。
Mask_-3,ヒビが入った。中の顔が見えてしまっている。
Mask_-2,表情が硬い。練習不足だ。
Mask_-1,その涙を拭え。仮面が濡れてしまう。
Mask_1,私は「私」でなくなる。
Mask_2,口角を上げろ。もっとだ。
Mask_3,皆んなと同じ顔をすれば、誰も君を傷つけない。
Mask_4,拍手のタイミングを合わせろ。心は不要だ。
Mask_5,素晴らしい笑顔だ。まるで作り物のようだね。
Mask_6,鏡を見た。そこに映っているのは誰だ？
Mask_Audit,顔色を伺いに来た。仮面の下を見せたまえ。
Mask_Bribe,高価な仮面の下でなら、どんな舌を出してもバレない。
Mask_Reject,演技指導が必要だな。やり直し。
Mask_Suspend,舞台袖に下がっていろ。君の出番はない。
Censor,精神衛生上有害なものを所持していない確認する。
Interrogate,正直に言えば減刑される..というのは嘘だがね。
