DogSpeakData
Type,Content
Dystopia,管理局は個人のデータ所有量を2GBから850MBに制限する方針を発表。―― 中央統計局
Normal,本日の天気は快晴。―― 中央統計局
Tip,手札の合計値がトレンドと一致すれば勝利だ。
Dystopia,管理局は集合体としての行動を推奨しています。―― 管理局広報課
Dystopia,市民各位。昨日の「思考ノイズ」の検知数は平常値です。―― 中央統計局
Dystopia,第13地区の食料配給に「栄養ブロック（味なし）」が追加されました。―― 管理局広報課
Dystopia,辞書定義の新版に向け、管理局は「自由」という言葉の再解釈を検討。―― 管理局広報課
Dystopia,今週のトレンドカラーは「白」です。それ以外の色は視覚汚染と見なされます。―― 中央統計局
Dystopia,市民ID:404-XA47932の検索結果を削除しました。
Dystopia,効率化と健康衛生の観点から、管理局は推奨睡眠時間の変更を発表。―― 管理局広報課
Dystopia,「笑顔」の執行率増加を敢行してください。
Dystopia,不適合と判定された市民は交換可能な部品として扱われます。―― 管理局広報課
Dystopia,相互監視のご協力に感謝します。昨日の密告件数は過去最高水準を記録しました。
Dystopia,生産性のある愛を育みましょう。―― 管理局広報課
Dystopia,本日午後2時より、通信実験が行われます。頭痛は仕様です。―― 管理局広報課
Dystopia,先日発生したとされる管理局のサーバダウンは虚偽の事実です。世界は正常に作動しています。―― 管理局広報課
Dystopia,不要な感情は廃棄しましょう。それはあなたの「社会的価値」を下げるのみです。―― 管理局広報課
Dystopia,空が青いという情報は誤りです。―― 管理局広報課
Tip,「トレンドライド」は他人のターンでも発生するよ。よそ見は厳禁さ。
Tip,「監査(Audit)」を使えば、次のプレイヤーに無理やりカードを引かせられる。
Tip,「賄賂(Bribe)」で数字を変えても、そのターン自分は上がれないから注意が必要だよ。
Tip,「検閲(Censor)」を使うと、他のプレイヤーのカードを1枚見ることができる。
Tip,マイナスのカードは手札の価値が大きすぎる時の調整に便利だね。
Tip,「停職(Suspend)」を出せば、次のプレイヤーをスキップできるぞ。
Tip,「拒否(Reject)」を使えば、順番を逆にできる。
Tip,「尋問(Interrogate)」は相手の最大の手札価値を公開する。ある程度どんなカードを持っているか分かるね。
Tip,手札価値が0で勝利することは無い。虚無は勝利では無いのさ。
Tip,最初から合計値があっている「テンホウ」なんて、運が良い市民も存在する。
Tip,"ワイルドカード(Bribe, Censor, Interrogate)は場の数字に関係なくいつでも出せるよ。"
Tip,計算を頭で行わなくても、Handに価値が表示されているよ。
Tip,手札を出し切る必要はない。大事なのは「空気を読んで一致させること」。
Dystopia,本日の推奨補講速度は時速4.2kmです。それ以下の移動は「停滞」とみなされます。ーー管理局交通課
Dystopia,右腕の使用を敢行してください。ーー管理局広報課
Dystopia,酸素の私的流用軽減のため、呼吸回数の低減にご協力ください。
Dystopia,先シーズンの流行であった「悲しみ」。今月から「無感動」に置き換え。―― 中央統計局
Dystopia,業務効率化の一環として、第8地区の酸素濃度を5%引き下げました。―― 中央統計局
Dystopua,市民各位。瞬きの数が多すぎます。視覚的情報の記録漏れにご注意ください。―― 中央統計局
Dystopia,管理局は先日、配給食に関する持続性担保のための議会を開催した。ーー管理局広報課
Dystopia,「なぜ？」という疑問詞は。旧言語に指定されました。ーー管理局言語課
Dystopia,本日から1週間、空を見上げる際はご注意をお願いします。ーー管理局気象課
Dystopia,「孤独」という概念は削除されました。ーー管理局言語課
Dystopia,管理局職員、第3地区統括管理補佐であったエヌ氏、「名誉ある退職」。ーー管理局広報課
Dystopia,本日の最適な移動距離範囲は1km~2kmです。ーー管理局交通課
Normal,本日の天気は雨。
Dystopia,管理局、「市民の夢は管理局の著作物。無断での想起は思考窃盗に当たる。」との声明ーー管理局広報課
Dystopia,献血にご協力ください。ーー管理局広報課
Dystopia,第4処理場の焼却炉が故障中。「甘い匂い」が漂う可能性があるが、健康に害はないとのこと。ーー管理局広報課
Dystopia,第7地区廃棄物処理場で爆発事故。原因は不明。ーー管理局広報課
Tip,配られた手札が悪い？日頃の行いを悔い改めよう。
Tip,運も実力のうち。
Tip,「賄賂」を使うときは笑顔で渡すと効果的…まあそんなシステムはないんだがね。
Tip,画面を叩いても手札は変わらない。ディスプレイの修理代が増えるだけだよ。
Tip,負けそうになったら「電源を切る」という究極の戦術がある。推奨はしない。
Tip,ゲームのルールが理不尽？実際の社会よりはマシだろ？
Dystopia,閲覧した夢に関するアンケートの回答をお願いします。ーー中央統計局
Dystopia,本日の推奨感情は「感謝」です。それ以外の表情筋の使用は非効率とみなします。ーー管理局広報課
Dystopia,思考パターンの定期検査が2週間後に迫っています。各自準備をお願いします。ーー中央統計局
Dystopia,「ため息」は環境騒音に指定されました。ーー管理局広報課
Dystopia,記憶容量節約のため、10年前のデータを圧縮・削除する方針が決定しました。ーー管理局広報課
Dystopia,先日行われた生物学定義の更新の議会にて、約5万超が市民から備品に分類変更されたと発表。―― 中央統計局
Tip,悩んでいる時間も人生の一部だ。
Dystopia,管理局、食料配給の頻度に変更はないとの発表。労働者は「肯定的」な反応。ーー管理局広報課
